4 #UTIL: 77
34 #UTIL: 70
15 #UTIL: 63
21 #UTIL: 56
20 #UTIL: 56
11 #UTIL: 72
6 #UTIL: 108
6 38 #UTIL: 118
9 10 #UTIL: 88
4 5 #UTIL: 92
4 7 #UTIL: 84
4 6 #UTIL: 85
11 28 35 37 #UTIL: 96
11 27 28 37 #UTIL: 102
6 11 28 37 #UTIL: 168
11 28 36 37 #UTIL: 119
11 28 34 37 #UTIL: 162
11 28 33 37 #UTIL: 100
6 28 32 37 #UTIL: 99
28 32 34 37 #UTIL: 93
7 28 36 37 #UTIL: 55
7 28 34 37 #UTIL: 98
6 27 28 37 #UTIL: 106
6 28 35 37 #UTIL: 100
6 28 36 37 #UTIL: 123
6 28 34 37 #UTIL: 166
28 33 36 37 #UTIL: 55
28 33 34 37 #UTIL: 98
3 28 36 37 #UTIL: 54
28 34 36 37 #UTIL: 117
27 28 36 37 #UTIL: 57
3 28 34 37 #UTIL: 97
28 34 35 37 #UTIL: 94
27 28 34 37 #UTIL: 100
11 27 35 37 #UTIL: 102
7 11 27 37 #UTIL: 52
6 11 27 37 #UTIL: 174
11 27 36 37 #UTIL: 125
11 27 34 37 #UTIL: 168
11 27 33 37 #UTIL: 106
11 27 32 37 #UTIL: 101
7 27 36 37 #UTIL: 61
7 27 34 37 #UTIL: 104
6 27 35 37 #UTIL: 106
6 27 36 37 #UTIL: 129
6 27 34 37 #UTIL: 172
27 33 36 37 #UTIL: 61
27 33 34 37 #UTIL: 104
3 27 36 37 #UTIL: 60
27 34 36 37 #UTIL: 123
27 35 36 37 #UTIL: 57
27 32 36 37 #UTIL: 56
3 27 34 37 #UTIL: 103
27 34 35 37 #UTIL: 100
27 32 34 37 #UTIL: 99
3 11 36 37 #UTIL: 68
3 11 34 37 #UTIL: 111
3 7 34 37 #UTIL: 94
3 6 36 37 #UTIL: 58
3 6 34 37 #UTIL: 101
3 35 36 37 #UTIL: 54
3 34 36 37 #UTIL: 120
3 33 36 37 #UTIL: 58
3 32 36 37 #UTIL: 53
3 34 35 37 #UTIL: 97
3 33 34 37 #UTIL: 101
3 32 34 37 #UTIL: 96
6 7 11 37 #UTIL: 58
7 11 36 37 #UTIL: 69
7 11 34 37 #UTIL: 112
6 11 36 37 #UTIL: 191
6 11 35 37 #UTIL: 168
6 11 34 37 #UTIL: 234
6 11 33 37 #UTIL: 172
11 35 36 37 #UTIL: 119
11 34 36 37 #UTIL: 185
11 33 36 37 #UTIL: 123
11 32 36 37 #UTIL: 118
11 34 35 37 #UTIL: 162
11 33 35 37 #UTIL: 100
11 33 34 37 #UTIL: 166
11 32 34 37 #UTIL: 161
6 7 36 37 #UTIL: 67
6 7 34 37 #UTIL: 110
7 35 36 37 #UTIL: 55
7 34 36 37 #UTIL: 121
7 33 36 37 #UTIL: 59
7 32 36 37 #UTIL: 54
7 34 35 37 #UTIL: 98
7 33 34 37 #UTIL: 102
7 32 34 37 #UTIL: 97
6 35 36 37 #UTIL: 123
6 34 36 37 #UTIL: 189
6 33 36 37 #UTIL: 127
6 32 36 37 #UTIL: 122
6 34 35 37 #UTIL: 166
6 33 34 37 #UTIL: 170
6 32 34 37 #UTIL: 165
34 35 36 37 #UTIL: 117
33 35 36 37 #UTIL: 55
33 34 36 37 #UTIL: 121
32 34 36 37 #UTIL: 116
32 33 36 37 #UTIL: 54
33 34 35 37 #UTIL: 98
32 34 35 37 #UTIL: 93
32 33 34 37 #UTIL: 97
29 30 31 36 #UTIL: 77
28 30 31 36 #UTIL: 71
11 30 31 36 #UTIL: 139
7 30 31 36 #UTIL: 75
6 30 31 36 #UTIL: 143
30 31 33 36 #UTIL: 75
30 31 32 36 #UTIL: 70
3 30 31 36 #UTIL: 74
30 31 34 36 #UTIL: 137
30 31 35 36 #UTIL: 71
27 30 31 36 #UTIL: 77
11 29 31 36 #UTIL: 113
